-7,-1,-1,0,-10,-10,-1,1,-5,-5,-4,-2,-17,-17,-5,-5,10,2,-1,-3,8,5,0,-1,-3,-4,-4,-3,15,24,-1,-6,-7,-3,-4,-4,13,60,3,8,-7,4,6,5,-36,-56,-3,-5,-6,0,2,2,-4,-16,2,6,-4,-3,-5,-3,15,11,-4,-5,1
-6,-2,-5,-2,27,42,3,5,11,1,-1,-1,-3,2,-1,-10,-35,-2,4,6,-16,-12,-1,0,47,8,4,-2,-20,-23,0,8,-8,-1,-2,-2,12,-1,-2,-6,3,-1,2,-3,16,15,-5,-7,-2,-4,-3,0,-7,-7,1,2,-17,-5,-7,-2,15,12,0,-7,1
5,0,-1,-2,2,-9,1,5,1,-3,-6,-4,-3,10,3,-3,-1,0,4,6,-29,-38,2,12,7,1,0,-2,19,23,2,3,-3,1,-3,-2,-9,7,-4,1,3,1,0,-3,9,3,-1,2,-13,-8,1,1,-7,2,-5,-11,-23,1,-1,-1,-23,-25,2,-1,1
31,4,2,-2,38,14,2,7,-2,4,1,1,8,26,0,3,16,-6,-8,-9,-8,-2,-9,-13,-16,-4,1,4,-14,-17,2,6,-23,0,2,0,-6,-6,1,-10,23,3,-1,-2,-2,-9,-1,6,-10,3,3,1,15,10,0,-4,13,2,-1,-3,-7,0,-3,-2,1
-4,-4,3,3,-25,-46,-1,3,-7,-6,-4,-4,11,14,-3,-3,-9,5,-1,0,-4,-17,-1,-3,9,-4,-5,-5,22,27,-4,0,-3,-3,-4,-3,27,45,-5,-5,-8,9,8,10,-25,-66,9,6,-9,-10,-4,-4,-8,0,2,15,4,-4,-1,-1,7,26,3,-7,1
-8,-3,-1,0,14,5,-4,-6,2,0,-1,0,-5,7,0,2,5,9,1,-1,11,17,1,-3,7,0,-3,-2,-16,-24,-2,13,-3,-1,-2,1,-14,-1,5,-2,2,-1,0,-2,-2,-9,-5,3,-26,-4,2,-2,0,18,0,-18,53,8,-1,-1,-2,-5,-2,9,1
-10,-7,2,-1,-14,-9,0,4,5,-1,-4,-2,30,26,-1,-7,5,-1,0,3,-5,16,-1,8,-25,-6,-5,1,10,-5,-3,-15,11,1,2,5,3,-41,3,17,13,0,3,0,-39,-29,-3,-6,-19,-5,-7,-4,10,4,-6,-13,-12,-6,0,0,7,2,-2,-3,1
3,5,-1,-3,-3,12,-3,-1,-8,-8,-5,0,46,49,0,-3,8,3,1,1,-27,-32,1,1,-24,-3,-1,0,36,30,2,-20,-9,-2,1,0,-37,-38,1,12,2,-3,-7,-6,46,79,4,-2,16,7,4,2,-26,-42,1,11,-5,-2,1,1,9,-9,2,0,1
-1,-5,-4,-4,22,43,-3,-15,1,3,0,3,-18,-4,4,-6,14,-1,-3,-3,-7,-33,-5,5,-4,-2,2,1,-1,1,-1,-4,-18,2,-5,-5,10,38,-6,-8,34,-3,3,2,-37,-60,-1,10,9,-2,-1,-4,33,42,0,-2,-1,0,1,-2,-3,9,3,7,1
-6,-2,0,1,14,16,2,-5,-23,-1,1,-3,-28,-24,-5,-6,24,5,-4,-5,0,-2,-2,5,4,0,1,-1,-1,17,-3,5,-6,-2,1,3,-3,-48,-2,0,-5,1,-3,-3,4,7,0,0,10,-2,-4,-4,59,29,3,0,-5,4,4,3,-56,-49,-4,0,1
-14,-4,-5,-2,7,22,6,1,-4,-1,-1,0,-8,1,-4,-2,-20,-2,2,3,-4,-18,-2,-9,21,2,0,-3,16,10,1,8,-9,-4,4,0,-14,-14,-4,5,-13,-3,-8,-5,2,44,-1,-4,16,4,-2,-1,7,26,2,13,1,1,2,1,-6,-19,-5,-4,1
10,4,6,7,-21,-59,2,-6,-3,-8,-5,-5,20,17,-1,4,-13,-4,-3,-1,0,15,-2,-3,-16,-2,-4,-3,15,22,2,3,-5,-3,0,0,4,-6,-1,-9,-7,4,1,-4,-5,-12,1,-11,7,1,1,2,-35,-45,-6,-1,14,-3,-3,-3,-3,-18,1,4,1
24,6,-3,-2,12,27,4,22,-15,-7,1,0,8,11,0,-6,-4,-2,1,1,-15,-4,0,-5,-15,-4,-1,1,24,31,1,-4,-1,0,-3,-3,3,20,0,-5,16,5,5,7,-31,-32,2,15,-7,-8,-1,-3,-20,-45,-8,-14,-24,3,0,2,-3,-20,-2,-6,1
50,3,-5,-3,16,18,-2,5,4,0,-3,-1,25,18,-1,4,-5,1,0,0,20,45,4,-5,-14,-2,-1,-1,-6,-17,0,2,-17,-3,0,-1,-5,7,-8,-20,6,-2,-2,-2,29,26,0,11,-2,2,0,-1,-31,-40,6,23,8,-2,1,1,-9,-28,-1,-2,1
