4,19,-9,-7,-3,-36,-6,-23,3,-21,-2,-9,15,-23,-11,-2,11,27,-3,-12,-22,-34,-16,-2,-10,-9,3,5,41,-33,19,1,5,0,-2,-6,-12,63,-7,-3,-11,-15,4,12,42,12,-14,-20,1,29,-2,-7,-24,-22,-8,9,-14,-2,-3,-4,-21,7,-8,-12,2
-1,12,20,7,20,-73,-4,-2,4,5,-14,-4,-16,-12,-6,0,-2,-30,13,17,20,82,0,6,7,-10,-4,-11,-41,-75,-20,-13,-13,-2,-2,11,44,77,37,1,7,28,12,9,5,0,8,7,8,-19,-13,-10,-5,-51,-19,-3,-5,-2,0,-4,-7,5,6,9,2
4,5,-8,-2,10,-10,-10,16,-3,-18,7,-4,-27,-27,10,9,1,13,-7,-9,-29,-33,-16,7,14,-12,5,13,67,43,10,9,-6,-1,-9,-8,-43,-21,-13,-16,-14,-77,-5,8,15,88,19,-4,8,-3,-11,-4,-3,-34,-13,2,0,2,3,-8,19,20,0,-8,2
-3,-3,5,11,25,-20,-2,14,9,32,-1,-1,19,-2,-1,-5,1,5,3,8,-4,4,-1,-18,-10,-21,-4,-7,-22,53,10,5,4,-2,-13,-7,24,24,29,4,6,9,5,4,-44,-52,-23,-6,-8,0,-9,-12,11,-65,-27,15,-2,16,6,9,1,31,16,4,2
-5,-9,-2,-5,-46,-34,-9,-4,0,8,1,3,37,29,7,-15,0,-5,1,-4,1,-36,-13,1,9,24,3,1,2,5,-6,8,-6,-7,-22,-9,-12,66,2,-8,2,-13,9,1,0,4,0,11,1,-26,-2,0,5,5,5,-5,-11,-6,7,6,-10,-24,-6,0,2
3,-3,-6,-5,-3,-4,-5,-4,-5,8,-6,-3,17,-17,2,-8,5,21,6,7,-12,-4,12,-4,-4,8,-10,-8,-8,8,3,-6,-4,-31,0,2,-17,-70,-19,7,4,17,5,-2,-5,85,38,36,3,2,3,8,8,-30,7,-18,-14,8,1,-2,-4,-34,-3,6,2
5,41,4,0,-5,-38,-9,-8,-11,-39,-8,-3,-19,-46,-11,-15,3,0,-8,-10,11,-10,-6,4,-1,5,4,5,2,78,1,-10,14,10,10,4,-9,-31,14,29,2,13,-5,-2,5,-11,-6,0,17,18,0,2,1,57,3,3,-17,-16,-5,-6,14,-33,4,-19,2
-11,0,-6,-9,9,49,8,6,0,-7,4,-2,-5,-23,-22,-16,6,10,2,7,-37,-26,1,2,-5,-38,-9,2,1,-27,-8,10,0,0,5,5,40,118,34,-34,8,20,-4,-3,-1,-73,-30,28,-19,-35,-8,-10,-21,24,1,-12,0,3,1,-14,-1,-31,2,-1,2
24,-1,19,30,33,-19,-8,11,-14,-22,-6,-2,1,8,4,-1,2,10,2,2,11,4,-4,-5,4,12,-9,-6,4,-7,6,7,-1,-6,2,-10,-10,-8,-17,5,-4,15,-3,-5,-22,52,19,-1,17,7,12,7,16,15,0,14,0,-13,-6,-3,-5,17,2,8,2
-1,7,-1,0,-14,-44,-7,-2,2,5,-4,5,6,-9,-18,-11,-15,-32,0,-5,17,49,16,-22,13,12,3,6,-19,-35,-7,11,0,0,2,-3,-15,-20,-4,0,-3,2,8,6,6,-8,7,-5,-8,1,-5,-5,10,23,6,9,-9,-6,7,5,11,38,-6,-15,2
1,-4,-9,4,22,-58,-21,18,-5,7,-3,-2,7,-23,-12,-6,3,10,2,3,-13,-3,6,13,7,-4,-1,-3,11,11,-9,-17,-17,9,-18,-17,-50,-23,0,2,3,16,13,5,12,38,-2,-17,-11,-50,-12,0,23,4,8,-1,25,11,8,1,-20,-12,-2,24,2
